url,title,alamat,kecamatan,kota,harga,jumlah_lantai,kamar_tidur,kamar_mandi,posisi_rumah,luas_tanah,luas_bangunan,garasi,carport,fasilitas_rumah,fasilitas_kamar,listrik,sertifikat,kondisi_properti,status,created_date,published_date,deskripsi
https://www.99.co/id/properti/rumah-dijual-2miliar-citraland-cp-1007329762,"Rumah Terawat LT 120m2m² / LB 125m2m² di Kawasan Komersial , Surabaya",Pelican HillCitraland,,Surabaya,2550000000,2,4,3,Hook,120,125,,,Y,N,3500,-,,active,2024-07-30 23:32:37,2025-11-06 07:04:33,"Investasikan properti berkualitas di Surabaya, Surabaya. PELICAN HILL BARU GRESS memiliki luas tanah 120m2m² dengan total konstruksi 125m2m², terdiri dari 4 kamar tidur dan 3 kamar mandi.

Tersedia dokumen kepemilikan (-) dan berbagai fasilitas (Keamanan, Parkir Mobil, Wifi) dengan perabotan dalam kondisi (Unfurnished). Hubungi kami sekarang untuk informasi lebih lanjut.

	------------------------------------------------------------

	RUMAH jual dijual Pelican Hill  Pelican Hill Baru Gress Spesifikasi Rumah Pelican Hill Citraland

Rumah baru Gress tidak pernah ditinggali. 
Sangat siap huni
Kosongan tanpa furnish

• Luas Tanah : 120 m²
• Luas Bangunan : 125 m²
• Dimensi : 8 x 15
• 2 Lantai
• Kamar Tidur : 4
• Kamar Mandi : 3
• Sertifikat : Masih PPJB
• Hadap : Utara
• Listrik : 3.500 watt

• Harga rp. 2.55 M
 SURABAYA CITRALAND

"
https://www.99.co/id/properti/rumah-dijual-3miliar-wiyung-cp-1012161979,"Dijual Hunian Mewah dengan Fasilitas Sekitar Komplit di Wiyung, Surabaya",Wisata bukit masWiyung,Wiyung,Surabaya,3000000000,2,5,3,Hook,200,350,,,N,N,4400,Hak Milik,,active,2025-11-19 23:01:19,2025-11-19 23:00:26,"Rumah mewah dijual di Wiyung dengan luas tanah besar yakni 200m2! Cocok untuk Anda!

Spesifikasi: LB 350m2, 5 KT, 3 KM.

Hubungi sekarang untuk melihat properti.

	------------------------------------------------------------

	Dijual Murahhh Rumah
*Luxemburg Villa Bukit Mas*

Luas tanah 200 (10x20)
Luas bangunan 350
2 lantai
Kamar tidur 5+1
Kamar mandi 3+1

Listrik brp watt 5500
Semifurnish - HGB 
Hadap SELATAN
Row jalan 3 Mobil
Harga 3M Nego

More Info 
Nancy XM HarVest
081851xxxx 

"
https://www.99.co/id/properti/rumah-dijual-2mily-surabaya-kota-cp-1005354796,"Rumah di Surabaya Kota, Surabaya, Luas 75m2m² Bangunan 200m2m²",Nirwana ExecutiveSurabaya Kota,,Surabaya,2300000000,3,0,3,Hook,75,200,,,Y,N,4400,-,,active,2024-02-26 10:15:37,2025-10-09 08:24:20,"Ruko Termurahh Nirwana Executive Dekat Merr Lokasi Strategis. Temukan hunian idaman Anda di kawasan Surabaya Kota, Surabaya, Surabaya yang berkembang. Dibangun di atas tanah 75m2m² dengan total bangunan 200m2m², terdapat 0 kamar tidur dan 3 kamar mandi.

Unit ini memiliki kelengkapan dokumen (-) dan beragam fasilitas (Pusat Kebugaran, Parkir Mobil, Keamanan, Dekat Tempat Ibadah, Taman, Telepon, Wifi) dengan perabotan dalam kondisi (). Jangan sia-siakan kesempatan berharga ini.

	------------------------------------------------------------

	Jual Ruko Nirwana Executive 3 Lantai Termuraaahhh !!
Lt 5X15 
KM 3
Hadap Timur 
Harga 2,3M Nego

Hubungi
Nancy XM Harvest
081851xxxx 

"
https://www.99.co/id/properti/rumah-dijual-1mily-rungkut-cp-1008757832,"Rumah Berkualitas Rungkut, Surabaya, LT 105m2m² LB 90m2m²",Nirwana Executive,Rungkut,Surabaya,1300000000,2,2,1,Hook,105,90,,,N,N,2200,Hak Milik,,active,2025-01-17 23:03:31,2025-10-09 10:39:54,"NIRWANA EXECUTIVE BAGUS TERAWAT MURAH. Dijual Rumah di area Rungkut, Surabaya. Dibangun di atas lahan 105m2m² dengan luas bangunan 90m2m².

Dilengkapi 2 kamar tidur dan 1 kamar mandi, sertifikat (SHM), fasilitas (Parkir Mobil, Keamanan, Taman, Taman Bermain Anak), dan kondisi (). Lingkungan nyaman dan tenang. Harga Rp.1,3 Miliar. Hubungi kami untuk informasi detail.

	------------------------------------------------------------

	Dijual Rumah selangkah dari Merr
Dekat starbuck, superindo, dll

NIRWANA EXECUTIVE
LT : 104 m2 (6 x17.5)
LB : 90 m2 (lt.1) + 45m2 (lt.2)
Row jalan 3 mobil
KT : 2 + 1 / KM : 1 + 1
Ada Gudang
Carport 1 mobil
Semi Furnish (Kitchen set + sofa ruang tamu + lemari + AC 2 unit)
PLN 2200 VA
Tandon atas bawah
Harga 1,4 nego
Baru renov Siap Huni Langsung masuk

Contact 
Nancy XM Harvest
081851xxxx 

"
https://www.99.co/id/properti/rumah-dijual-195miliar-pakuwon-city-cp-1010088042,"Hunian Super Mewah dengan Akses Paling Strategis di Pakuwon City, Surabaya","Jl. Kalisari Dharma IV No. 9, Kalisari, Mulyorejo, Kota Surabaya, Jawa Timur, Indonesia, 60112Pakuwon City",,Surabaya,195000000000,1,1,1,Hook,78,60,,,N,N,0,Hak Milik,,active,2025-05-11 16:11:35,2025-11-23 14:47:54,"Hunian menjanjikan di Pakuwon City Surabaya! Rumah premium dengan nilai Rp.195 Miliar yang terus naik

Dibangun dengan model modern stylish, hunian ini cocok dijadikan hunian maupun investasi.

Detail:
- LT: 78m2
- LB: 60m2
- KT: 1
- KM: 1

Amankan properti ini sekarang!

	------------------------------------------------------------

	
*Dijual rumah cantik di GRIYA ASRI, PAKUWON CITY*

Konsep modern compact house, cocok untuk mahasiswa/pelajar

• LT 78 m (6x13)
• LB 60 m
• 1 suite master bedroom dengan kamar mandi dalam
• ⁠New Furnished mewah & lengkap tinggal bawa koper
• ⁠SHM
• ⁠Selatan



"
https://www.99.co/id/properti/rumah-dijual-2mily-sukolilo-cp-1011758089,"Rumah Terawat kawasan Sukolilo, Surabaya, LT 112m2m² LB 183m2m² HARGA MENARIK!",klampis Anom,Sukolilo,Surabaya,2350000000,0,4,3,Hook,112,183,,,N,N,2200,Hak Milik,,active,2025-10-13 23:03:10,2025-10-13 23:02:24,"Sukolilo, Surabaya - Lokasi strategis untuk Rumah berkualitas ini. Dirancang dengan 4 kamar tidur dan 3 kamar mandi, berdiri di atas lahan 112m2m² dengan luas bangunan 183m2m².

Dilengkapi sertifikat (SHM), fasilitas () dengan kondisi (). Silakan atur jadwal survey.

	------------------------------------------------------------

	NEW GRESS WISMA MUKTI
Jl KLAMPIS ANOM

????????????????   23????️
LT 112m² ( 6x18,5 ) 
LB 183m²
Bangunan 2 lantai
4KT + 1 
3KM + 1 (1KM dalam-Atas)
SHM 
Hadap Selatan
Tandon Bawah + Atas
Sanitary TOTO
PDAM
PLN 2200W
SHM
2,350 M nego



"
https://www.99.co/id/properti/rumah-dijual-3miliar-wisata-bukit-mas-cp-1011677230,"SPECIAL PRICE! Rumah Strategis di , LT 200m2m² LB 350m2m²",Wisata Bukit Mas Wisata Bukit Mas,,Surabaya,3000000000,2,3,3,Hook,200,350,,,Y,N,5500,Hak Milik,,active,2025-10-09 10:39:24,2025-09-08 23:00:34,"LUXEMBURG WISATA BUKIT MAS. Tersedia Rumah di kawasan , Surabaya. Properti dengan luas tanah 200m2m² dan luas bangunan 350m2m².

Dilengkapi 3 kamar tidur dan 3 kamar mandi, sertifikat (SHM), fasilitas (Keamanan, Taman, Jogging Track, Wifi), dan kondisi (Unfurnished). Jalan mudah dengan kawasan asri. Harga Rp.3 Miliar. Hubungi kami untuk jadwal survey.

	------------------------------------------------------------

	Dijual Murahhh Rumah
Luxemburg Wisata Bukit Mas

Luas tanah 200 (10x20)
Luas bangunan 350
2 lantai
Kamar tidur 5+1
Kamar mandi 3+1

Listrik  5500watt
Semifurnish - HGB 
Hadap SELATAN
Row jalan 3 Mobil
Harga 3M Nego

More Info 
Nancy XM HarVest
081851xxxx 

"
https://www.99.co/id/properti/rumah-dijual-3mily-kenjeran-cp-1009808453,"HARGA SPECIAL! Rumah Asri di Kenjeran, Luas 211m2m² LB 208m2m²",Lebak Indah Regency,Kenjeran,Surabaya,3000000000,2,3,3,Hook,211,208,,,Y,N,2200,Hak Milik,,active,2025-05-08 03:41:57,2025-10-09 08:23:34,"Dapatkan Rumah nyaman di kawasan Kenjeran, Surabaya. LEBAK INDAH REGENCY SIAP HUNI. Berdiri di atas lahan 211m2m² dengan luas bangunan 208m2m².

Memiliki 3 kamar tidur dan 3 kamar mandi, sertifikat (SHM), fasilitas (Keamanan, Parkir Mobil, AC, Telepon, CCTV) dan kondisi (). Ideal untuk hunian keluarga. Harga Rp.3 Miliar. Hubungi kami untuk informasi lengkap.

	------------------------------------------------------------

	Dijual... Dijual...
Rumah Lebak indah regency
LT : 211 M² (8x26.5)
LB : 208 M² (2 lantai)
KT : 3+1
KM : 3+1
Gudang : 1
PLN : 2200 (abonemen) 
Hadap : timur
Surat : SHM
ROW : 3.5 mobil
Fasilitas : club house, kolam renang, lapangan badminton)

Prize : 3M (nego)

"
https://www.99.co/id/properti/rumah-dijual-1miliar-sutorejo-cp-1009805387,"HUNIAN BERKELAS! Rumah Exclusive , Surabaya, LT 76m2m² Luas Bangunan 125m2m²",Sutorejo UtaraSutorejo,,Surabaya,1875000000,2,3,2,Hook,76,125,,,Y,N,2200,Hak Milik,,active,2025-05-08 03:36:19,2025-11-06 07:03:33,"SUTOREJO MAIN ROAD JALAN 4 MOBIL. Dijual Rumah di , Surabaya. Berdiri di atas lahan 76m2m² dengan bangunan 125m2m².

Tersedia 3 kamar tidur dan 2 kamar mandi, sertifikat (SHM), fasilitas (Keamanan, Taman, Wifi), dan kondisi (Unfurnished). Kawasan sejuk dan nyaman. Harga Rp.1,87 Miliar. Hubungi kami untuk informasi.

	------------------------------------------------------------

	*SUTOREJO UTARA ( MAIN ROAD )*

⚬ *LOKASI NYAMAN*
⚬ *ROW 4 Mobil Longgar*

2 unit : 
⚬ LT 5x15,2 (76)
 LB 125  2lantai
⚬ Hadap Barat 
⚬ KT 3+1  KM 2+1
⚬ SHM, IMB Lengkap Bisa KPR
⚬ Galvalum , Kusen aluminum
○ American Standard
⚬ Granit tile 60×60 
⚬ PLN 2200w ,PDAM 
○ Carport 2 mobil 
Harga 1,875 M


More Info 
Nancy XM HarVest
081851xxxx 

"
https://www.99.co/id/properti/rumah-dijual-1miliar-mulyosari-cp-1009805352,"Rumah Asri 3 Kamar View Gunung di , Surabaya",Sutorejo TimurMulyosari,,Surabaya,1900000000,1,3,2,Hook,158,110,,,N,N,2200,Hak Milik,,active,2025-05-08 03:36:15,2025-11-06 07:05:43,"Hunian impian di , Surabaya. SUTOREJO 1,5LT FULL FURNISH. Rumah dengan luas tanah 158m2m² dan luas bangunan 110m2m², dilengkapi 3 kamar tidur dan 2 kamar mandi.

Hunian ini hadir dengan sertifikat (SHM), fasilitas () dan kondisi (Full Furnished). Lokasi strategis ke berbagai fasilitas umum. Harga Rp.1,9 Miliar. Hubungi kami untuk melihat unit.

	------------------------------------------------------------

	*Dijual Rumah 1.5lt  full Furnish Sutorejo Timur*

Luas tanah : 158 m2
Dimensi : 9M X 17,5M
Luas bangunan : 110 m2
Kamar tidur : 3+1
( 1 master bedroom dengan kamar mandi dalam ) 
Kamar mandi : 2+1
Sertifikat : SHM
Daya listrik : 2200
Air : PDAM 

Poin selling rumah : 
- Ukuran jalan depan rumah 6 m
- Dekat dengan kampus C UNAIR 
- Dekat dengan Mall Galaxy
- Dekat dengan Kampus ITS
- Full furnish 
( kasur 3 ukuran 160 (2) 120 (1) + dipan (3) + lemari (3) + hearbord TV dan hearbord meja belajar + kitchen set + kompor tanam + AC (2) + water heater + mesin cuci + meja makan dan 4 kursi + kursi ruang tamu jati + pembatas ruangan kayu jati ) 

*Harga 1,9M nego*

More Info
Nancy XM Harvest
081851xxxx 

"
