url,harga,alamat,LT,LB,KT,KM,Sertifikat,Dilihat
https://www.lamudi.co.id/properti/41032-73-ea85454ec997-31d3-19bab82-a8c3-7287,"Rp 4,99M",Surabaya,Luas Tanah: 344 m²,Luas Bangunan 619m²,5 kamar tidur,4 Kamar Mandi,-,-
https://www.lamudi.co.id/properti/41032-73-e7ace005f1db-7068-19be50c-946f-70da,"Rp 2,70M",Surabaya,Luas Tanah: 91 m²,-,2 kamar tidur,3 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-b73ad4f1bfdf-38c5-19b3216-8e4e-7e7c,"Rp 12,50M",Surabaya,Luas Tanah: 324 m²,-,5 kamar tidur,5 kamar mandi,Sertifikat SHM,-
https://www.lamudi.co.id/properti/41032-73-b92e73eaaab9-5851-19b8cf9-9371-7935,"Rp 2,40M",Surabaya,Luas Tanah: 360 m²,-,4 kamar tidur,3 kamar mandi,*⃣ *Sertifikat SHM*,-
https://www.lamudi.co.id/properti/41032-73-dd2a4d987230-db22-199dbbc-9490-7255,"Rp 4,30M",Surabaya,Luas Tanah: 125 m²,-,10 kamar tidur,10 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-8502e6632bc0-9572-19b3b46-80aa-7f11,"Rp 2,35M",Surabaya,Luas Tanah: 138 m²,-,5 kamar tidur,4 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-28f754a42c65-5209-19b8402-8d2b-76c8,"Rp 3,80M",Surabaya,Luas Tanah: 360 m²,-,6 kamar tidur,6 kamar mandi,*⃣ *Sertifikat SHM*,-
https://www.lamudi.co.id/properti/41032-73-af7dffb658d4-7e58-19b9888-a5f8-7441,"Rp 10,50M",Surabaya,Luas Tanah: 245 m²,- Luas Bangunan: 800m2,52 kamar tidur,52 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-4e802ec5b2c5-699b-19bd6ae-970e-73a3,Rp 599Jt,Surabaya,Luas Tanah: 100 m²,Luas Bangunan 65m² (1.5 lantai),3 kamar tidur,1 Kamar Mandi,-,-
https://www.lamudi.co.id/properti/41032-73-63b7b6559805-2c32-19bb6f0-850b-71f8,"Rp 1,65M",Surabaya,Luas Tanah: 180 m²,-,3 kamar tidur,2 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-cae3ee309a51-48e4-19b739b-bcb4-744d,"Rp 1,75M",Surabaya,Luas Tanah: 135 m²,-,3 kamar tidur,2 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-98d3b1a84bb-dd8e-19b4aed-b975-7525,"Rp 3,25M",Surabaya,Luas Tanah: 320 m²,* Luas Bangunan: ±320 m²,6 kamar tidur,4 kamar mandi,"* Sertifikat SHM, atas nama sendiri (tidak diagunkan)",-
https://www.lamudi.co.id/properti/41032-73-dbb14fba7bef-d351-19ade88-bf35-7075,"Rp 2,34M",Surabaya,Luas Tanah: 203 m²,- Luas bangunan 210 m,5 kamar tidur,3 kamar mandi,-,-
https://www.lamudi.co.id/properti/41032-73-2b282903869c-ee3f-19b2a5c-9d2a-739d,"Rp 1,85M",Surabaya,Luas Tanah: 78 m²,-,3 kamar tidur,-,-,-
