url,judul,harga,lokasi,luas_bangunan,luas_tanah,kamar_tidur,kamar_mandi,sertifikat,deskripsi_singkat
https://www.olx.co.id/item/jual-cepat-rumah-lokasi-bendul-merisi-surabaya-iid-941084591,"Dijual rumah perumahan genuk indah, semarang",Rp 700.000.000,"Wonocolo, Surabaya Kota, Jawa Timur",177,177,5,2,,"Jual cepat rumah lokasi BENDUL MERISI SURABAYA
Detail ;
LT 8,20 x 22,50 ( 177M² )
LB 177M²
Bangunan "
https://www.olx.co.id/item/999-juta-jual-rumah-baru-rungkut-surabaya-iid-941573487,"Dijual rumah perumahan genuk indah, semarang",Rp 700.000.000,"Genteng, Surabaya Kota, Jawa Timur",50,0,3,2,,"jual rumah rungkut surabaya
luas tanah 50 m² (5×10)
luas bangunan 82 m²
bangunan 2 lantai
kamar tidu"
https://www.olx.co.id/item/jual-10-kamar-rumah-kost-mahasiswa-di-bumi-marina-its-hang-tuah-iid-939516582,"Dukuh Kupang. Rumah Kost, pasif income, murah, penuh",Rp 3.700.000.000,"Sukolilo, Surabaya Kota, Jawa Timur",160,,,10,SHM - Sertifikat Hak Milik,"PALING UNTUNG RUMAH KOST BUMI MARINA MAS
JALAN KEMBAR
LT 76
LB 162
SHM DAN IMB
2LT
KT 10
KM 10
DAPUR"
https://www.olx.co.id/item/jual-rumah-baru-pakuwon-city-dekat-manyar-kertajaya-mulyosari-sutorejo-klampis-semolowaru-tenggilis-jemursari-iid-940726490,"Dijual rumah perumahan genuk indah, semarang",Rp 700.000.000,"Genteng, Surabaya Kota, Jawa Timur",180,0,5,5,SHM - Sertifikat Hak Milik,"JUAL RUMAH BARU GRESS DI PAKUWON CITY
Luas Tanah 180 m² (10x18)
Luas Bangunan 300 m²
Split level
Kam"
https://www.olx.co.id/item/di-jual-rumah-strategis-2lantai-halaman-luas-iid-941576660,"Dijual rumah perumahan genuk indah, semarang",Rp 700.000.000,"Mulyorejo, Surabaya Kota, Jawa Timur",100,200,5,4,,"Lokasi dekat Pakuwon City, kampus ITS, dan Galaxy Mall"
https://www.olx.co.id/item/jual-rumah-baru-mezzanine-american-tropical-house-the-grand-kenjeran-surabaya-iid-941576451,"Dijual rumah perumahan genuk indah, semarang",Rp 700.000.000,"Mulyorejo, Surabaya Kota, Jawa Timur",173,126,5,4,HGB - Hak Guna Bangun,"pri-tgkMez2-3
JUAL RUMAH BARU MEZZANINE
AMERICAN TROPICAL HOUSE
THE GRAND KENJERAN SURABAYA
Grand Ke"
https://www.olx.co.id/item/jual-rumah-siaphuni-15lantai-500meter-ke-jalan-raya-kenjeran-iid-938890360,"Dijual rumah perumahan genuk indah, semarang",Rp 700.000.000,"Bulak, Surabaya Kota, Jawa Timur",300,375,5,3,,"JUAL Rumah SiapHuni, 1,5lantai, row jalan 2,5mobil, 500meter ke jalan raya kenjeran
Lebak arum 2 
LT"
https://www.olx.co.id/item/jual-atau-sewa-apartemen-gunawangsa-merr-type-studio-cantik-mewah-iid-939286356,Freehold - Modern Villa with Spacious Outdoor Areas - Prime Location,Rp 300.000.000,"Tenggilis Mejoyo, Surabaya Kota, Jawa Timur",18,0,1,1,,"Jual atau sewa apartemen mewah di gunawangsa merr type studio
Tower A lt 728
Ppjb
Luas 18 depan lift"
https://www.olx.co.id/item/disewakan-atau-jual-apartemen-gunawangsa-merr-type-studio-full-furnish-iid-941573971,Freehold - Modern Villa with Spacious Outdoor Areas - Prime Location,Rp 300.000.000,"Tenggilis Mejoyo, Surabaya Kota, Jawa Timur",18,0,1,1,,"jual atau disewakan apartemen gunawangsa .err type studio full furnish mewah
shmsrs
tower A lt 18
lu"
https://www.olx.co.id/item/jual-apartemen-gunawangsa-tidar-tower-b1607-corner-luas-43-iid-919897577,"Dijual rumah perumahan genuk indah, semarang",Rp 700.000.000,"Graha, Surabaya Kota, Jawa Timur",43,0,2,1,,Fresh from the oven Dijual Gunawangsa Tidar Apartemen tengah kota type 2brc City and poolview Lantai
https://www.olx.co.id/item/jual-rumah-manyar-dekat-menur-kertajaya-bratang-surabaya-iid-938887879,"Dijual rumah perumahan genuk indah, semarang",Rp 700.000.000,"Gubeng, Surabaya Kota, Jawa Timur",300,266,5,3,SHM - Sertifikat Hak Milik,"DIJUAL CEPAT!!!
Rumah Manyar
Surabaya
Dimensi: 7 x 38
Luas tanah: 266 m
Luas bangunan: 300 m
2 lanta"
https://www.olx.co.id/item/jualsewa-apartemen-studio-furnis-amor-eastcoast-mansion-pakuwon-city-iid-941573112,Freehold - Modern Villa with Spacious Outdoor Areas - Prime Location,Rp 300.000.000,"Mulyorejo, Surabaya Kota, Jawa Timur",22,0,1,1,,"axz2592
JUAL/SEWA APARTEMEN STUDIO FURNIS
AMOR EASTCOAST MANSION PAKUWON CITY
Tower Amor
Lantai 38
L"
https://www.olx.co.id/item/di-jual-sewa-apartement-amor-pakuwon-city-mall-2br-corner-furnished-termurah-iid-941572271,Dijual Rumah di wedarijaksa pati,Rp 780.000.000,"Mulyorejo, Surabaya Kota, Jawa Timur",55,0,2,1,,"Miz220161
Di Jual / Sewa Apartement Amor, Pakuwon City Mall, 2BR corner Furnished termurah
Type 2BR "
https://www.olx.co.id/item/jual-apartment-eastcoast-residence-tower-saphire-lantai-5-iid-941572011,Leasehold - Exclusive Studio Apartments in Bali,Rp 1.617.000.000,"Mulyorejo, Surabaya Kota, Jawa Timur",35,0,2,1,SHM - Sertifikat Hak Milik,"Miz250372
Jual Apartment Eastcoast Residence Tower Saphire Lantai 5
Luas 35m²
Kamar Tidur 2
Kamar Ma"
https://www.olx.co.id/item/jual-rumah-jalan-tulung-agung-gundih-surabaya-iid-941571872,"Dijual rumah perumahan genuk indah, semarang",Rp 700.000.000,"Bubutan, Surabaya Kota, Jawa Timur",175,303,7,3,,"miz250367
Jual Rumah Jalan Tulung Agung, Gundih, Surabaya,
Luas Tanah 303 (12x25.25)
Lucas Bangunan "
