URL,Wilayah,Kecamatan,Luas Tanah (m2),Luas Bangunan (m2),Jumlah Kamar,Jumlah Kamar Mandi,Tingkat/Lantai,Harga Jual,Terjual/Belum,Arah Hadap Rumah,Posisi Rumah,Lebar Jalan Depan Rumah (ROW),Carport,Fasilitas Tambahan,"Siap Huni 
(Y/N)","Furnish 
(Y/N)",Watt Listrik,Dekat Pasar,Dekat Sekolah,Dekat Puskesmas/RS,Dekat Mall,Dekat Tempat Ibadah,Dekat Makam,Dekat Club House,Dekat Jalan Raya Utama,Worth-it,Votes_WorthIt,Votes_NotWorthIt
https://www.99.co/id/properti/rumah-dijual-650jt-rungkut-cp-1009583633,Timur,Rungkut,100,60,2,1,1.0,"Rp650,000,000",Belum,Selatan,Hook,,,433333292.9,,N,1300,,Y,,,,,,,Worth-It,8,2
https://www.99.co/id/properti/rumah-dijual-525jt-gununganyar-cp-1009581905,Timur,Gunung Anyar,50,35,2,1,1.0,"Rp525,000,000",Belum,Timur dan Barat,Hook,2 mobil,,349999979.5,Y,N,1300,,Y,,,,,,,Not Worth-It,4,6
https://www.99.co/id/properti/rumah-dijual-625jt-medokan-ayu-cp-1009578591,Timur,Rungkut,65,65,2,1,1.0,"Rp625,000,000",Belum,Barat dan Selatan,Hook,2 mobil,,416666637.2,Y,N,1300,,Y,Y,,,,,,Not Worth-It,4,6
https://www.99.co/id/properti/rumah-dijual-17miliar-darmo-permai-cp-1009578720,Barat,Dukuh Pakis,460,350,5,3,1.0,"Rp17,000,000,000",Belum,Barat,Hook,,2,11333333135.0,,N,2200,,,,,,,,,Not Worth-It,3,7
https://www.99.co/id/properti/rumah-dijual-1miliar-wonorejo-cp-1010143840,Timur,Rungkut,100,120,3,2,1.0,"Rp1,100,000,000",Belum,Timur dan Selatan,Hook,12m,,733333285.2,,N,1300,,Y,,,,,,,Worth-It,7,3
https://www.99.co/id/properti/rumah-dijual-1miliar-semampir-cp-1009579939,Utara,Semampir,300,200,3,2,1.0,"Rp1,600,000,000",Belum,-,Hook,,,1066666541.0,,N,2200,,Y,Y,,,,,,Worth-It,9,1
https://www.99.co/id/properti/rumah-dijual-750jt-gununganyar-cp-1009581755,Timur,Gunung Anyar,70,50,2,1,1.0,"Rp750,000,000",Belum,Utara,Hook,,,499999970.9,Y,N,1300,,Y,,,,,,,Worth-It,6,4
https://www.99.co/id/properti/rumah-dijual-625jt-gununganyar-cp-1009582013,Timur,Gunung Anyar,50,70,3,2,1.0,"Rp625,000,000",Belum,Utara,Hook,2 mobil,,416666641.9,Y,N,1300,,Y,,,,,,,Worth-It,6,4
https://www.99.co/id/properti/rumah-dijual-875jt-rungkut-cp-1012598827,Timur,Rungkut,100,70,3,1,1.0,"Rp875,000,000",Belum,Selatan,Hook,2 mobil,2,583333291.6,,N,2200,,,,,,,,,Worth-It,6,4
https://www.99.co/id/properti/rumah-dijual-1miliar-surabaya-kota-cp-1012585051,Selatan,Jambangan,120,90,3,1,1.0,"Rp1,650,000,000",Belum,Barat,Hook,2 mobil,2,1099999949.0,Y,N,2200,,,Y,,,,,,Worth-It,5,5
https://www.99.co/id/properti/rumah-dijual-2miliar-gayungan-cp-1012555179,Selatan,Gayungan,136,150,2,2,1.0,"Rp2,790,000,000",Belum,Selatan,Hook,2 mobil,2,1859999936.0,Y,N,2200,,Y,,,Y,,,,Not Worth-It,1,9
https://www.99.co/id/properti/rumah-dijual-1miliar-mulyosari-cp-1012679371,Timur,Mulyorejo,120,100,4,1,1.0,"Rp1,650,000,000",Belum,-,Hook,2 mobil,Ada,1099999948.0,Y,N,3500,,Y,,Y,,,,,Worth-It,8,2
https://www.99.co/id/properti/rumah-dijual-565jt-medokan-ayu-cp-1012555047,Timur,Rungkut,48,45,2,1,2.0,"Rp565,000,000",Belum,Selatan,Hook,2 mobil,Ada,376666646.0,Y,N,1300,,Y,,,,,,,Worth-It,7,3
https://www.99.co/id/properti/rumah-dijual-750jt-sidoarjo-cp-1012573279,Selatan,Tambakcemandi,72,85,3,1,2.0,"Rp750,000,000",Belum,Barat,Hook,2 mobil,Ada,499999966.1,Y,N,2200,,,,,,,,,Worth-It,6,4
https://www.99.co/id/properti/rumah-dijual-1miliar-semolowaru-cp-1012563386,Timur,Sukolilo,90,180,4,3,2.0,"Rp1,450,000,000",Belum,Utara,Hook,2 mobil,Ada,966666614.7,Y,N,4400,,Y,,,,,,,Worth-It,8,2
https://www.99.co/id/properti/rumah-dijual-1miliar-kutisari-cp-1012559245,Timur,Tenggilis Mejoyo,78,120,4,4,2.0,"Rp1,890,000,000",Belum,Barat dan Selatan,Hook,2 mobil,Ada,1259999960.0,Y,Y,2200,,,,,,,,,Not Worth-It,5,5
https://www.99.co/id/properti/rumah-dijual-3miliar-sukolilo-cp-1009792579,Timur,Sukolilo,230,400,25,6,1.0,"Rp3,500,000,000",Belum,Utara,Hook,2 mobil,,2333333207.0,Y,N,3500,,Y,,,,,,,Worth-It,5,5
https://www.99.co/id/properti/rumah-dijual-925jt-keputih-cp-1012558832,Timur,Sukolilo,45,70,2,2,2.0,"Rp925,000,000",Belum,Barat,Hook,2 mobil,Ada,616666643.9,Y,N,2200,,Y,,,,,,,Not Worth-It,3,7
https://www.99.co/id/properti/rumah-dijual-599jt-wonokromo-cp-1012555270,Selatan,Wonokromo,60,100,3,2,1.0,"Rp599,000,000",Belum,Utara,Hook,2 mobil,,399333301.2,,N,1300,,Y,,,,,,,Worth-It,8,2
https://www.99.co/id/properti/rumah-dijual-795jt-waru-cp-1012598839,Selatan,Kepuhkiriman,78,120,3,1,2.0,"Rp795,000,000",Belum,-,Hook,2 mobil,,529999959.4,,N,1300,,,,,,,,,Worth-It,5,5
https://www.olx.co.id/item/jual-rumah-kost-paling-strategis-10-kamar-di-surabaya-iid-939710743,Timur,Sukolilo,80,60,10,10,2.0,"Rp2,550,000,000",Belum,-,Standard/Tengah,4 mobil,-,1699999970.0,N,N,2200,N,N,N,N,N,N,N,N,Not Worth-It,1,9
https://www.olx.co.id/item/on-progressjual-runah-baru-rungkut-surabaya-iid-942353679,Pusat,Genteng,110,110,4,4,2.0,"Rp1,800,000,000",Belum,Selatan,Standard/Tengah,"2,5 mobil",2,1199999951.0,Y,N,,N,N,N,N,N,N,N,N,Not Worth-It,4,6
https://www.olx.co.id/item/875-juta-jual-rumah-baru-1-lantai-pondok-tjandra-surabaya-iid-942193382,Pusat,Genteng,92,65,2,2,1.0,"Rp875,000,000",Belum,Timur,Standard/Tengah,2 mobil,1,583333295.1,Y,N,,N,N,N,N,N,N,N,N,Worth-It,5,5
https://www.olx.co.id/item/jual-rumah-siap-huni-lebak-kenjeran-dekat-bsbatan-pantai-mulyoaari-ploso-karangasem-kalijudan-sutorejo-iid-940844884,Pusat,Genteng,125,147,4,4,2.0,"Rp1,800,000,000",Belum,Barat,Standard/Tengah,2 mobil,1,1199999941.0,N,Y (Semi),,N,N,N,N,N,N,N,N,Worth-It,6,4
https://www.olx.co.id/item/jual-rumah-baru-gress-2026-strategis-manyar-tirtoyoso-dekat-sekolah-petra-jalan-raya-kertajaya-akses-jalan-2-arah-iid-942620144,Timur,Mulyorejo,140,218,5,5,2.0,"Rp3,800,000,000",Belum,Timur,Standard/Tengah,jalan kembar,-,2533333260.0,N,N,2200,N,Y,N,N,N,N,N,Y,Not Worth-It,2,8
https://www.olx.co.id/item/jual-rumah-stok-baru-pantai-mentari-iid-941519638,Utara,Bulak,90,135,5,4,2.0,"Rp1,950,000,000",Belum,-,Standard/Tengah,"2,5 mobil",2,1299999954.0,N,N,2200,N,N,N,N,N,N,N,N,Not Worth-It,2,8
https://www.olx.co.id/item/jual-cepatrumah-nginden-cocok-buat-kosan-pemilik-bu-iid-940232134,Timur,Tenggilis Mejoyo,56,111,8,3,3.0,"Rp600,000,000",Belum,Barat,Standard/Tengah,1 mobil,-,399999969.3,N,N,900,N,Y,N,N,N,N,N,N,Worth-It,9,1
https://www.olx.co.id/item/jual-rumah-baru-gress-2026-strategis-manyar-tirtoyoso-dekat-sekolah-petra-jalan-raya-kertajaya-akses-jalan-2-arah-iid-942619278,Timur,Mulyorejo,140,218,5,5,2.0,"Rp3,800,000,000",Belum,-,Standard/Tengah,jalan kembar,-,2533333260.0,N,N,2200,N,Y,N,N,N,N,N,Y,Not Worth-It,2,8
https://www.olx.co.id/item/jual-rumah-0-jalan-raya-iid-942617203,Selatan,Sawahan,100,200,3,2,2.0,"Rp3,900,000,000",Belum,Utara,Standard/Tengah,,-,2599999942.0,N,N,,N,N,N,N,N,N,N,N,Not Worth-It,1,9
https://www.olx.co.id/item/on-progress-tapi-sisa-1-jual-rumah-baru-rungkut-surabaya-kialitas-premium-iid-942560748,Pusat,Genteng,160,94,5,4,2.0,"Rp1,750,000,000",Belum,Utara,Standard/Tengah,,2,1166666603.0,Y,N,2200,N,N,N,N,Y,N,N,N,Worth-It,9,1
https://www.olx.co.id/item/pantai-mentarijual-rumah-dekat-pakuwon-cityraya-kenjeran-iid-942614838,Utara,Kenjeran,102,101,4,3,2.0,"Rp1,699,000,000",Belum,Selatan,Standard/Tengah,3 mobil,2,1132666621.0,N,N,5500,N,N,N,N,N,N,N,N,Worth-It,8,2
https://www.olx.co.id/item/pakuwon-cityjual-rumah-dekat-itsunairraya-kenjeran-iid-942614708,Timur,Mulyorejo,72,97,3,2,2.0,"Rp2,500,000,000",Belum,Selatan,Standard/Tengah,3 mobil,2,1666666631.0,N,N,,N,N,N,N,N,N,N,N,Not Worth-It,1,9
https://www.olx.co.id/item/jual-rumah-baru-gress-graha-family-surabaya-barat-iid-941781081,Pusat,Genteng,128,295,5,4,2.0,"Rp4,750,000,000",Belum,-,Standard/Tengah,,-,3166666587.0,N,N,,N,N,N,N,N,N,N,N,Not Worth-It,0,10
https://www.olx.co.id/item/jual-cepat-rumah-cantik-siap-huni-pakuwon-city-surabaya-timur-iid-942551717,Timur,Sukolilo,464,400,4,4,2.0,"Rp7,000,000,000",Belum,Utara,Hook,,-,4666666461.0,N,N,,N,N,N,Y,N,N,Y,N,Worth-It,8,2
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-surabaya-barat-dekat-tol-di-grand-pakuwon-north-victoria,Barat,Tandes,144,268,4,4,2.0,"Rp5,800,000,000",Belum,-,,,,3866666585.0,,Y ,3500,,,,,,,,,Not Worth-It,2,8
