No,Judul,Alamat,Tingkat,Dimensi,Luas Tanah,Luas Bangunan,Kamar Tidur,Kamar Mandi,Surat,Harga,keterangan,link
1,"Dukuh Kupang, Dekat Kampus UWK Surabaya Barat","RW 06, Dukuh Kupang, Dukuh Pakis, Surabaya, Jawa Timur",1,5 x 20,100,95,3,1,"SHM, IMB","Rp800,000,000",Listrik : 2200 Air : PDAM Harga : 800jt Hadap : Utara Row : 4meter,https://rumah.trovit.co.id/detail/019bffed-b855-71a8-8080-21fa635874f7?t_pvid=0ec4735a-c23e-4724-a0cb-6eed3273c354&page=1&t_sec=1&pos=2&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
2,Promo Berkah Jual Kost Putri Baru Full Furnish Aktif 18 Kamar Karah Jambangan Surabaya,"RW 12, Sawunggaling, Wonokromo, Surabaya, Jawa Timur",3,4.5 x 24,109,300,19,19,"SHM, IMB","Rp3,399,999,999","Token Perkamar & Induk Air PDAM+Tandon tiap lantai Dapur umum,Carport Parkiran Row 2.5 mobil Catatan Point ++: ++ Bangunan Baru ++ Sudah seisinya springbed, AC, TV, kulkas mini,lemari dll ++ Tarif kamar Strategis Dekat Tol Gunungsari, 5 Menit ke Kampus Unesa Ketintang, Telkom,RSI, Royal Plaza mall, Area industri, perkantoran pusat bisnis* 1.6jt,1.650jt&1.7jt/bln ++ Income 29.550jt/bln atau 355jt/Thn ++ Full Support management bisa dibantu mulai pengisian kamar sampai maintenance",https://rumah.trovit.co.id/detail/019bdd23-4099-7d44-a7c0-e75dbb452c07?t_pvid=0ec4735a-c23e-4724-a0cb-6eed3273c354&page=1&t_sec=1&pos=3&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
3,"Dijual Rumah Kost 30Kamar Full Furnish Wiyung Dkt Kampus Unesa, Wijaya Putra","Taman Pondok Indah, RW 09, Wiyung, Wiyung, Surabaya, Jawa Timur",3,7 x 21,147,400,31,31,-,"Rp4,900,000,000","- Sangat Strategis - 3menit ke Rs.Wiyung sejahtera - 8menit ke Unesa Lidah, Pakuwon mall, Rs.hospital area perkantoran",https://rumah.trovit.co.id/detail/0199f613-2a4e-7364-9a23-310c6c88d3bf?t_pvid=0ec4735a-c23e-4724-a0cb-6eed3273c354&page=1&t_sec=1&pos=4&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
4,Full Rumah Kost Baru 18+1 Kamar Full Furnish Raya Karah Jambangan Surabaya,"RW 03, Karah, Jambangan, Surabaya, Jawa Timur",3,4.5 x 24,109,300,19,19,"SHM, IMB","Rp3,400,000,000","++ Bangunan Baru Gress ++ Sudah seisinya springbed, AC, TV, kulkas mini,lemari dll ++ Tarif kamar 1.6jt-1.7jt/bln ++ Income 29.550jt/bln atau 355jt/Thn ++ Full Support management mulai pengisian kamar sampai maintenance ",https://rumah.trovit.co.id/detail/019b9b8c-ecc3-7364-8992-f046dd99fee7?t_pvid=0ec4735a-c23e-4724-a0cb-6eed3273c354&page=1&t_sec=1&pos=5&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
5,Jual Rumah Murah Baru Gress 2Lantai di Babatan Pilang Surabaya Barat,"Perumahan Babatan Pilang, RW 05, Babatan, Wiyung, Surabaya, Jawa Timur",2,5 x 14,70,125,3,3,"SHM,IMB, PBB","Rp1,350,000,000","One gate system Keamanan 24jam Dekat Toll Gunungsari Dekat Toll Satelit Dekat banyak sekolah Deket rumah sakit Dekat Sentra Wisata Kuliner (SWK) Dekat Mitra10 Dekat Royal Square Dekat Unesa Dekat Citraland Dekat Pakuwon Mall Dekat sekolah internasional Dekat Wisata Bukit Mas, Forest Mansion, The Greenlake Citraland Dekat Gunungsari, Graha Sunan Ampel, Taman Pondok Indah, Babatan Indah, Graha Sampurna Indah, Babatan Mukti",https://rumah.trovit.co.id/detail/019aba44-004a-7369-9b91-8e53784105d2?t_pvid=0ec4735a-c23e-4724-a0cb-6eed3273c354&page=1&t_sec=1&pos=9&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
6,RUMAH MEWAH DHARMAHUSADA INDAH SURABAYA,"RW 08, Mulyorejo, Mulyorejo, Surabaya, Jawa Timur",-,15 x 30,450,400,4,4,-,"Rp15,000,000,000","1 gudang 2 dapur ( kotor dan bersih ) ac 5 unit kipas angin 2 unit lantai granit kusen kayu ulin tandon atas 3 , tandon bawah 1 , pompa air 4 , filter air tabung 2 water heater solar cell ( air panas di semua kamar mandi ) cctv 9 kamera",https://rumah.trovit.co.id/detail/019b00f8-9c7e-769c-9ae6-3cbcbb58c194?t_pvid=0ec4735a-c23e-4724-a0cb-6eed3273c354&page=1&t_sec=1&pos=10&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
7,"RUMAH 2 LANTAI BARU GRESS CAKEP DESIGN MODERN LANGKA NIRWANA EKSEKUTIF DEKAT MERR BARUK, PURIMAS, RUNGKUT, NGINDEN, UPN, IPH","Nirwana Eksekutif, RW 06, Wonorejo, Rungkut, Surabaya, Jawa Timur",2,5 x 15,75,120,3,3,"SHM,IMB, PBB","Rp1,740,000,000",FREE : PAGAR DEPAN + TANDON ATAS + POMPA AIR SANYO + INSTALASI AIR PANAS + FREE AC 1/2 PK - 3 unit* *( berlaku hanya Pembayaran Cash Kerass ) Bisa KPR / Inhouse 1th *Harga *Rp. 1.750 M Nego,https://rumah.trovit.co.id/detail/019aa5d4-1964-7c19-8e43-3552075b2c8b?t_pvid=0ec4735a-c23e-4724-a0cb-6eed3273c354&page=1&t_sec=1&pos=11&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
8,rumah baru 2lt rungkut Sby 1M an mewah,"RW 02, Kali Rungkut, Rungkut, Surabaya, Jawa Timur",2,5.3 x 10.5,,83,3,2,,"Rp1,250,000,000","Lokasi Strategis : Dekat 1 Menit Raya MERR, 2 Menit RSUD Eka Candrarini, Univ Terbuka, Ruko Perniagaan, Kantor Bank, dsb Metode Pembayaran Cash/KPR Syariah/Khusus Inhouse DP 50% dari Harga, Sisa dicicil maksimal 3 Tahun ",https://rumah.trovit.co.id/detail/019b0483-6de4-76d0-8c6b-d8ac193b1207?t_pvid=0ec4735a-c23e-4724-a0cb-6eed3273c354&page=1&t_sec=1&pos=13&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
9,"DIJUAL RUMAH PLOSO TIMUR – SIAP HUNI! Cari rumah strategis, luas, dan nyaman","RW 03, Kalijudan, Mulyorejo, Surabaya, Jawa Timur",2,6 x 20,120,120,6,3,SHM,"Rp2,500,000,000","Lokasi Super Strategis: Dekat Kampus WM Kalijudan 5 menit ke Galaxy Mall Dekat Unair C, ITS, & Pakuwon City Mall",https://rumah.trovit.co.id/detail/019b62cb-134e-74d7-8433-ebf7d9d11c37?t_pvid=0ec4735a-c23e-4724-a0cb-6eed3273c354&page=1&t_sec=1&pos=14&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
10,Rumah Baru Minimalis MOdern 2 Lantai Lokasi Kutisari indah surabaya selatan,"RW 02, Kutisari, Tenggilis Mejoyo, Surabaya, Jawa Timur",2,6 x 20,120,180,5,4,"SHM, IMB","Rp2,190,000,000",,https://rumah.trovit.co.id/detail/019a47b6-4808-720f-9453-711d8ebaf052?t_pvid=0ec4735a-c23e-4724-a0cb-6eed3273c354&page=1&t_sec=1&pos=16&search_terms=Surabaya&origin=2&type=direct&trovit_type=1&search_terms=Surabaya
